Datum,Type,Aantal,AantalCumulatief
2020-06-03,Overleden besmette bewoners,2.0,2781.0
2020-06-04,Positief geteste bewoners,18.0,8251.0
2020-06-04,Overleden besmette bewoners,6.0,2787.0
2020-06-05,Positief geteste bewoners,17.0,8268.0
2020-06-05,Overleden besmette bewoners,6.0,2793.0
2020-06-06,Positief geteste bewoners,5.0,8273.0
2020-06-06,Overleden besmette bewoners,3.0,2796.0
2020-06-07,Positief geteste bewoners,4.0,8277.0
2020-06-07,Overleden besmette bewoners,7.0,2803.0
2020-06-08,Positief geteste bewoners,7.0,8284.0
2020-06-08,Overleden besmette bewoners,0.0,2803.0
2020-06-09,Positief geteste bewoners,12.0,8296.0
2020-06-09,Overleden besmette bewoners,1.0,2804.0
2020-06-10,Positief geteste bewoners,9.0,8305.0
2020-06-10,Overleden besmette bewoners,3.0,2807.0
2020-06-11,Positief geteste bewoners,10.0,8315.0
2020-06-11,Overleden besmette bewoners,3.0,2810.0
2020-06-12,Positief geteste bewoners,7.0,8322.0
2020-06-12,Overleden besmette bewoners,3.0,2813.0
2020-06-13,Positief geteste bewoners,5.0,8327.0
2020-06-13,Overleden besmette bewoners,1.0,2814.0
2020-06-14,Positief geteste bewoners,4.0,8331.0
2020-06-14,Overleden besmette bewoners,2.0,2816.0
2020-06-15,Positief geteste bewoners,5.0,8336.0
2020-06-15,Overleden besmette bewoners,1.0,2817.0
2020-06-16,Positief geteste bewoners,2.0,8338.0
2020-06-16,Overleden besmette bewoners,1.0,2818.0
2020-06-17,Positief geteste bewoners,3.0,8341.0
2020-06-17,Overleden besmette bewoners,1.0,2819.0
2020-06-18,Positief geteste bewoners,3.0,8344.0
2020-06-18,Overleden besmette bewoners,4.0,2823.0
2020-06-19,Positief geteste bewoners,6.0,8350.0
2020-06-19,Overleden besmette bewoners,0.0,2823.0
2020-06-20,Positief geteste bewoners,2.0,8352.0
2020-06-20,Overleden besmette bewoners,0.0,2823.0
2020-06-21,Positief geteste bewoners,1.0,8353.0
2020-06-21,Overleden besmette bewoners,2.0,2825.0
2020-06-22,Positief geteste bewoners,1.0,8354.0
2020-06-22,Overleden besmette bewoners,0.0,2825.0
2020-06-23,Positief geteste bewoners,3.0,8357.0
2020-06-23,Overleden besmette bewoners,1.0,2826.0
2020-06-24,Positief geteste bewoners,9.0,8366.0
2020-06-24,Overleden besmette bewoners,1.0,2827.0
2020-06-25,Positief geteste bewoners,7.0,8373.0
2020-06-25,Overleden besmette bewoners,0.0,2827.0
2020-06-26,Positief geteste bewoners,1.0,8374.0
2020-06-26,Overleden besmette bewoners,2.0,2829.0
2020-06-27,Positief geteste bewoners,2.0,8376.0
2020-06-27,Overleden besmette bewoners,1.0,2830.0
2020-06-28,Positief geteste bewoners,1.0,8377.0
2020-06-28,Overleden besmette bewoners,1.0,2831.0
2020-06-29,Positief geteste bewoners,8.0,8385.0
2020-06-29,Overleden besmette bewoners,1.0,2832.0
2020-06-30,Positief geteste bewoners,1.0,8386.0
2020-06-30,Overleden besmette bewoners,2.0,2834.0
2020-07-01,Positief geteste bewoners,2.0,8388.0
2020-07-01,Overleden besmette bewoners,1.0,2835.0
2020-07-02,Positief geteste bewoners,2.0,8390.0
2020-07-02,Overleden besmette bewoners,0.0,2835.0
2020-07-03,Positief geteste bewoners,3.0,8393.0
2020-07-03,Overleden besmette bewoners,3.0,2838.0
2020-07-04,Positief geteste bewoners,1.0,8394.0
2020-07-04,Overleden besmette bewoners,0.0,2838.0
2020-07-05,Positief geteste bewoners,1.0,8395.0
2020-07-05,Overleden besmette bewoners,3.0,2841.0
2020-07-06,Positief geteste bewoners,0.0,8395.0
2020-07-06,Overleden besmette bewoners,0.0,2841.0
2020-07-07,Positief geteste bewoners,0.0,8395.0
2020-07-07,Overleden besmette bewoners,1.0,2842.0
2020-07-08,Positief geteste bewoners,1.0,8396.0
2020-07-08,Overleden besmette bewoners,0.0,2842.0
2020-07-09,Positief geteste bewoners,0.0,8396.0
2020-07-09,Overleden besmette bewoners,0.0,2842.0
2020-07-10,Positief geteste bewoners,0.0,8396.0
2020-07-10,Overleden besmette bewoners,0.0,2842.0
2020-07-11,Positief geteste bewoners,1.0,8397.0
2020-07-11,Overleden besmette bewoners,0.0,2842.0
2020-07-12,Positief geteste bewoners,0.0,8397.0
2020-07-12,Overleden besmette bewoners,0.0,2842.0
2020-07-13,Positief geteste bewoners,0.0,8397.0
2020-07-13,Overleden besmette bewoners,0.0,2842.0
2020-07-14,Positief geteste bewoners,6.0,8403.0
2020-07-14,Overleden besmette bewoners,0.0,2842.0
2020-07-15,Positief geteste bewoners,1.0,8404.0
2020-07-15,Overleden besmette bewoners,2.0,2844.0
2020-07-16,Positief geteste bewoners,1.0,8405.0
2020-07-16,Overleden besmette bewoners,0.0,2844.0
2020-07-17,Positief geteste bewoners,7.0,8412.0
2020-07-17,Overleden besmette bewoners,1.0,2845.0
2020-07-18,Positief geteste bewoners,2.0,8414.0
2020-07-18,Overleden besmette bewoners,0.0,2845.0
2020-07-19,Positief geteste bewoners,1.0,8415.0
2020-07-19,Overleden besmette bewoners,1.0,2846.0
2020-07-20,Positief geteste bewoners,0.0,8415.0
2020-07-20,Overleden besmette bewoners,0.0,2846.0
2020-07-21,Positief geteste bewoners,3.0,8418.0
2020-07-21,Overleden besmette bewoners,0.0,2846.0
2020-07-22,Positief geteste bewoners,3.0,8421.0
2020-07-22,Overleden besmette bewoners,1.0,2847.0
2020-07-23,Positief geteste bewoners,3.0,8424.0
2020-07-23,Overleden besmette bewoners,1.0,2848.0
2020-07-24,Positief geteste bewoners,4.0,8428.0
2020-07-24,Overleden besmette bewoners,0.0,2848.0
2020-07-25,Positief geteste bewoners,1.0,8429.0
2020-07-25,Overleden besmette bewoners,0.0,2848.0
2020-07-26,Positief geteste bewoners,3.0,8432.0
2020-07-26,Overleden besmette bewoners,1.0,2849.0
2020-07-27,Positief geteste bewoners,2.0,8434.0
2020-07-27,Overleden besmette bewoners,2.0,2851.0
2020-07-28,Positief geteste bewoners,2.0,8436.0
2020-07-28,Overleden besmette bewoners,1.0,2852.0
2020-07-29,Positief geteste bewoners,1.0,8437.0
2020-07-29,Overleden besmette bewoners,0.0,2852.0
2020-07-30,Positief geteste bewoners,2.0,8439.0
2020-07-30,Overleden besmette bewoners,0.0,2852.0
2020-07-31,Positief geteste bewoners,4.0,8443.0
2020-07-31,Overleden besmette bewoners,0.0,2852.0
2020-08-01,Positief geteste bewoners,4.0,8447.0
2020-08-01,Overleden besmette bewoners,0.0,2852.0
2020-08-02,Positief geteste bewoners,0.0,8447.0
2020-08-02,Overleden besmette bewoners,0.0,2852.0
